,id,name,market_cap,price_change_percentage_24h,twitter_followers,circ_perc,clusters
85,dash,Dash,1475936563.0,-5.29756,422203,55.6286421658018,0
86,ecomi,ECOMI,1471557092.0,13.45306,160745,32.01228416983506,0
87,chiliz,Chiliz,1450021291.0,7.68836,430840,60.12072653101207,0
88,true-usd,TrueUSD,1421276661.0,0.49612,19738,100.0,1
89,frax-share,Frax Share,1416139005.0,14.88567,29755,35.71553380829363,0
90,sushi,Sushi,1355484692.0,5.94226,190621,80.55198649053708,1
91,celsius-degree-token,Celsius Network,1320534357.0,1.11654,207847,60.94204970464864,1
92,nexo,NEXO,1241777592.0,7.44697,166505,56.00000100064,0
93,compound-governance-token,Compound,1235949329.0,5.74271,212751,63.262815163319466,1
94,mina-protocol,Mina Protocol,1228056768.0,10.99295,173589,39.2103212907921,0
95,spell-token,Spell Token,1210456532.0,7.22528,106856,40.95838768851367,0
96,safemoon,SafeMoon [OLD],1191328575.0,10.88842,1358726,56.23822385767363,0
97,yearn-finance,yearn.finance,1185371726.0,3.89226,172084,97.3452925563514,1
98,defi-kingdoms,DeFi Kingdoms,1158732340.0,18.65383,85250,18.492696886301633,0
99,bitkub-coin,Bitkub Coin,1154982915.0,19.02667,6331,80.6818182,3
100,holotoken,Holo,1095682765.0,5.20023,111996,100.0,1
101,ravencoin,Ravencoin,1071889491.0,10.91665,84407,49.87280952380952,0
102,xdce-crowd-sale,XDC Network,1068383351.0,4.51145,80076,32.54866480018108,0
103,paxos-standard,Pax Dollar,1048891151.0,0.15397,23,100.0,1
104,nem,NEM,1048604635.0,4.24736,376970,100.0,1
105,secret,Secret,1035271987.0,13.96647,132822,82.81816959457153,1
106,havven,Synthetix Network Token,1032660282.0,5.68412,182979,82.7120573330282,1
107,gatechain-token,GateToken,1009466450.0,4.20787,0,52.38479610198501,0
108,iotex,IoTeX,992089242.0,2.58591,213894,99.94274060601913,1
109,1inch,1inch,966941195.0,6.32107,766160,29.420246500209927,0
110,msol,Marinade staked SOL,948653334.0,4.38664,25215,100.0,1
111,livepeer,Livepeer,918208105.0,8.81854,24746,100.0,1
112,woo-network,WOO Network,882166470.0,7.90415,68936,29.50060066912205,0
113,e-radix,e-Radix,863057479.0,2.35233,127779,100.0,1
114,zilliqa,Zilliqa,858395022.0,4.93432,377691,65.69253646820428,1
